,beds,baths,size,,price,location
0,3,2.5,2590,,9000000,A.G.college
1,4,2,2240,,9150000,A.Gs office
2,4,3,2040,,9500000,A.Gs. staff quarters
3,4,3,3800,,1950000,Administrative Buildings
4,2,2,1042,,9050000,Afzalgunj
5,2,2,1190,,7400000,Aliabad
6,1,1,670,,4600000,Ambernagar
7,5,3.5,4510,,3150000,Amberpet
8,3,2.5,1520,,5650000,Anandnagar
9,4,2,2340,,6990000,Anantagiri
10,3,2,1320,,8990000,Anantaram
11,3,2,1800,,1050000,Andhra Mahila sabha
12,3,2.5,2490,,9356025,Ankireddipalli
13,4,3,2650,,1511000,Ankushapur
14,5,1.5,2560,,1330000,Annajiguda
15,2,1.5,900,,5497505,Aperl
16,3,3.5,1360,,7000000,Aphb Colony moulali
17,1,1,550,,3300000,Ashoknagar
18,3,2.5,2974,,17500000,Attapur
19,4,3.5,1989,,9800000,Atvelli
20,2,2,1332,,8450000,Badangpet
21,4,3,2668,,12130000,Bahadurpura
22,2,1,770,,5300000,Balapur
23,3,1.5,1280,,6250000,Banjara Hills
24,5,3.5,3200,,1275000,Barkatpura
25,2,1.5,889,,6800000,Bazarghat
26,1,1,508,,3250000,Begumbazar
27,3,2,3140,,1219700,Begumpet
28,4,2,2000,,9072000,Begumpet Policelines
29,1,1,792,,5170000,Bharat Nagar colony
30,3,2.5,1690,,7600000,Bholakpur
31,4,5.5,3000,,1484000,Boduppal
32,3,3,1550,,9500000,Bogaram
33,2,2,871,,4300000,Central Police lines
34,4,1.5,1940,,5200000,Central Secretariat
35,1,1,474,,3350000,Chanchalguda
36,3,2,1770,,8050000,Chandulalbaradari
37,5,5,2510,,10000000,Cherial
38,1,1,750,,3750000,Cherlapalli
39,1,1,573,,3900000,Crp Camp
40,3,2.5,1500,,1070000,Cyberabad
41,5,4,2920,,9480000,Dabirpur
42,3,2,2817,,9120000,Dargah Hussain shahwali
43,1,1,617,,4800000,Darushifa
44,2,2,1280,,7760000,Dattatreya Colony
45,2,2,1523,,1395000,Dhoolpet
46,2,1,1240,,7500000,Dilsukhnagar Colony
47,4,2.5,2280,,1065000,Dr As rao nagar
48,5,3.5,3590,,2350000,Ecil
49,4,3.5,2478,,1580000,Erragadda
50,3,3,2360,,1775000,Falaknuma
51,2,1,720,,6000000,Fatehdarwaza
52,3,2,2480,,8000000,Fathenagar Colony
53,3,2,1550,,1100000,Gagan Mahal
54,2,1,780,,7500000,Gajularamaram
55,5,3,2820,,8650000,Gandhi Bhawan
56,5,3,2900,,1450000,Gandhinagar
57,2,2,1092,,8290000,Ghatkesar
58,3,2,1731,,5750000,Girmapur
59,3,2.5,1500,,8600000,Golconda
60,2,2.5,1344,,7700000,Golconda Chowrastha
61,4,5.5,4040,,5495000,Gowdavalli
62,5,3,2320,,5600000,Gsi(sr) Bandlaguda
63,5,3,2820,,9000000,Hanumanpet
64,3,1,1070,,5750000,Hasannagar
